"","Reporting.Country","Total.confirmed","Total.confirmed.new.cases","Total.deaths","Total.new.deaths","Transmission.classification","Days.since.last.reported.case","ISO_3_CODE","temp_mean_14Mar20","temp_mean_14Mar20_pa","temp_mean_3mth","temp_mean_3mth_pa","humd_mean_14Mar20","humd_mean_14Mar20_pa","humd_mean_3mth","humd_mean_3mth_pa","temp_mean_14Mar20_paadj","temp_mean_3mth_paadj"
"138","Panama",345,100,6,3,"Local transmission",0,"PAN",25.0917846679687,25.6416104336991,25.1437326792124,25.7501565502973,74.7446496582031,73.4534537513708,79.5808204346734,79.5808204346734,25.6416104336991,25.7501565502973
"139","Papua New Guinea",1,0,0,0,"Imported cases only",3,"PNG",24.1819996067312,21.3201560047879,24.2192465041233,21.3624977399273,86.2171162639172,87.3488933566499,87.0305832819983,87.0305832819983,21.3201560047879,21.3624977399273
"140","Paraguay ",22,0,1,0,"Local transmission",1,"PRY",31.861476615124,30.8173976777401,28.0639272774886,26.7061912003568,47.3123281970883,48.2723246700582,63.6735566882142,63.6735566882142,30.8173976777401,26.7061912003568
"141","Peru",395,77,2,0,"Local transmission",0,"PER",19.8063121227698,18.7013293337999,19.6980304804438,18.5547665317887,83.2835142061831,81.3515224478051,82.4904955097381,82.4904955097381,18.7013293337999,18.5547665317887
"142","Philippines",462,82,33,8,"Local transmission",0,"PHL",25.989040115318,26.947919446176,25.0384514088189,25.7017611718125,76.5016002030457,73.7762269831449,80.3438834773974,80.3438834773974,26.947919446176,25.7017611718125
"143","Poland",749,115,8,1,"Local transmission",0,"POL",1.46913995202431,1.82482303232409,3.15872593856767,3.16747152612489,59.2952288383729,58.1564345543993,80.6946292987876,80.6946292987876,1.82482303232409,3.16747152612489
"144","Portugal",2060,460,23,9,"Local transmission",0,"PRT",13.8557537763547,13.6008017210418,10.77400949839,11.5730716327697,68.5479816045517,73.8000812791015,78.768211294691,78.768211294691,13.6008017210418,11.5730716327697
"145","Puerto Rico",31,8,2,1,"Imported cases only",0,"PRI",23.4556147257487,23.4144063175151,23.9583192430101,23.925750462819,82.7260182698568,83.6430577690494,80.4218658756565,80.4218658756565,23.4144063175151,23.925750462819
"146","Qatar",501,7,0,0,"Local transmission",0,"QAT",24.2042803083147,23.8029728519674,18.4788818653946,18.6007687305602,40.3278898511614,45.6971082967118,58.7548670676684,58.7548670676684,23.8029728519674,18.6007687305602
"147","Republic of Korea",9037,76,120,9,"Local transmission",0,"KOR",4.92045322852799,5.20836094333283,2.96004637471218,2.88124889241415,50.1300399997566,53.8837135083441,65.3397439965801,65.3397439965801,5.20836094333283,2.88124889241415
"148","Republic of Moldova",109,15,1,0,"Local transmission",0,"MDA",7.06564080910605,7.16453229268476,3.27406119708736,3.30907682651656,55.7105356435307,55.5996723502006,73.8940730122375,73.8940730122375,7.16453229268476,3.30907682651656
"149","Réunion",71,7,0,0,"Under investigation",0,"REU",23.1753234863281,23.9283390133266,23.021703359243,23.6841280528056,87.7478923797607,86.14059122989,84.930309759604,84.930309759604,23.9283390133266,23.6841280528056
"150","Romania",576,143,7,5,"Local transmission",0,"ROU",6.99601985436094,8.84787678963127,2.28294663211142,3.5794779616173,60.3261126298839,60.5689144751207,75.1879214732025,75.1879214732025,8.84787678963127,3.5794779616173
"151","Russian Federation",438,0,0,0,"Local transmission",1,"RUS",-10.2603474042942,2.11697071114963,-17.3729900885876,-3.13809287381049,71.781845581056,68.8849989917249,77.9160289539132,77.9160289539132,2.11697071114963,-3.13809287381049
"152","Rwanda",36,19,0,0,"Local transmission",0,"RWA",21.0454613180721,21.0057954682048,20.0377536888911,19.973960481114,72.4294810575597,72.2883549337451,76.2509681719854,76.2509681719854,21.0057954682048,19.973960481114
"153","Saint Barthélemy",3,0,0,0,"Under investigation",8,"BLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Saint Lucia",3,1,0,0,"Imported cases only",0,"LCA",25.2266540527344,25.2266540527344,25.568895082216,25.568895082216,74.6088256835938,NA,71.0945457767796,71.0945457767796,25.2266540527344,25.568895082216
